"Year","flannel","jean","moleskin","velour","twill","gingham","leather","rayon","satin"," cotton","eyelet"," cotton.1","jacquard","angora","flax","nylon","canvas"," lace","velvet","cotton ","chino","cotton","mesh","silk ","silk","taffeta","chiffon","damask","cotton .1","mohair","lace","tweed"
1832,"1.0999050150176808E-5","1.1702744596502446E-5","4.283357499373444E-7","4.7422886600205987E-7","6.899265115062226E-6","1.254411839102223E-6","3.0824876290133895E-5","1.8357246425886188E-7","2.0330650416668956E-5","2.4476328567848253E-7","1.9887016961376705E-7","7.64885267745258E-8","1.5297705354905158E-8","1.529770535490516E-7","1.8938559229372585E-5","3.0595410709810316E-8","1.3767934819414643E-7","2.7535869638829285E-7","1.2391141337473177E-5","8.107783838099734E-7","1.529770535490516E-7","1.162472629919243E-4","1.055541669488456E-6","1.6827475890395675E-7","9.75381693428753E-5","4.589311606471547E-8","1.5297705354905158E-8","4.115082740469488E-6","1.3767934819414643E-7","7.80182973100163E-7","5.2134579849516776E-5","6.394440838350356E-6"
1833,"1.1246922593741713E-5","9.305406979532292E-6","5.963226529357505E-7","7.904742143566925E-7","7.960214018258622E-6","1.955383582882345E-6","3.357435215715005E-5","3.050953108043375E-7","2.360328268131738E-5","1.6641562407509316E-7","2.773593734584886E-8","1.802835927480176E-7","2.773593734584886E-8","1.9415156142094202E-7","1.9110060831289867E-5","6.933984336462215E-8","5.547187469169772E-8","2.91227342131413E-7","1.5864956161825547E-5","3.328312481501863E-7","1.6641562407509316E-7","1.1130431656889148E-4","1.0539656191422567E-6","1.9415156142094202E-7","8.63974448323192E-5","2.773593734584886E-7","4.160390601877329E-8","4.964732784906946E-6","1.802835927480176E-7","4.2990702886065735E-7","5.519451531823923E-5","4.784449192158929E-6"
1834,"1.4814729876391555E-5","1.3305955252704734E-5","9.627419027334959E-7","3.736013353891178E-7","9.627419027334958E-6","1.6955752913813808E-6","3.441443070218989E-5","1.0058497491245479E-7","2.5462367934981413E-5","7.184641065175342E-8","1.4369282130350684E-8","4.0233989964981916E-7","6.035098494747287E-7","4.310784639105205E-8","2.1783831709611638E-5","2.873856426070137E-8","5.747712852140274E-8","2.586470783463123E-7","1.5863687471907154E-5","6.035098494747287E-7","2.586470783463123E-7","1.1320120462290269E-4","1.135173288297704E-6","1.0058497491245479E-7","1.0146150112240618E-4","5.316634388229753E-7","2.873856426070137E-8","5.474696491663611E-6","3.879706175194685E-7","1.724313855642082E-7","5.029248745622739E-5","6.408699830136405E-6"
1835,"1.729109175617348E-5","9.214161750487065E-6","7.753852805458961E-7","4.910773443457342E-7","1.4215396810008094E-5","1.7704630572464626E-6","3.127387298201781E-5","6.461544004549134E-8","2.7978485539697748E-5","6.461544004549134E-8","6.461544004549134E-8","6.461544004549134E-7","5.686158724003238E-7","3.87692640272948E-8","2.2253557551667218E-5","2.5846176018196536E-8","1.8092323212737574E-7","3.230772002274567E-7","1.753663042834635E-5","1.2793857129007285E-6","1.2923088009098268E-7","1.014333177834123E-4","1.0467701287369597E-6","2.067694081455723E-7","9.585054376348185E-5","2.5846176018196536E-8","3.87692640272948E-8","6.513236356585527E-6","4.2646190430024284E-7","3.101541122183584E-7","4.691080947302671E-5","7.185236933058637E-6"
1836,"1.5101355485365345E-5","8.479435228603704E-6","5.548421344463306E-7","4.221624936004689E-7","9.408192714524737E-6","1.133807839955545E-6","2.8887976347803515E-5","8.443249872009379E-8","1.8840509000112355E-5","1.3267964084586167E-7","0.0","4.8247142125767876E-8","5.789657055092145E-7","2.4123571062883938E-8","2.8091898502728344E-5","1.2061785531441969E-8","6.030892765720985E-8","2.8948285275460724E-7","1.9588339703061758E-5","9.046339148581477E-7","1.206178553144197E-7","1.0710865551920468E-4","1.121746054424103E-6","1.568032119087456E-7","8.790629295314907E-5","3.136064238174912E-7","3.6185356594325906E-8","5.367494561491676E-6","4.945332067891207E-7","3.6185356594325906E-7","4.490602753355845E-5","5.813780626155029E-6"
1837,"1.5376108860508474E-5","7.602238983560658E-6","7.470991829794006E-7","8.37962597125544E-7","7.329648741122228E-6","1.181224383899863E-6","2.5260029132627844E-5","1.0095934905127035E-7","2.0615899076269405E-5","1.6153495848203258E-7","4.0383739620508146E-8","2.3220650281792183E-7","2.9278211224868405E-7","1.3124715376665146E-7","2.0484651922502756E-5","4.0383739620508146E-8","5.047967452563518E-8","4.038373962050814E-7","2.1140887691336014E-5","8.27866662220417E-7","1.110552839563974E-7","1.271885879347904E-4","8.48058532030671E-7","1.7163089338715961E-7","8.87634596858769E-5","7.067154433588925E-8","4.0383739620508146E-8","4.5835544469276745E-6","3.735495914897003E-7","3.5335772167944624E-7","4.860183063328155E-5","4.654225991263564E-6"
1838,"1.879586383936879E-5","9.817076653340389E-6","1.4038823609200762E-6","2.726965737038997E-7","7.6153043175089025E-6","1.1715852796167543E-6","3.060261549343763E-5","2.0199746200288866E-7","2.4825488080155018E-5","1.6159796960231092E-7","0.0","2.4239695440346637E-7","1.4139822340202205E-7","7.069911170101103E-8","2.061384099739479E-5","2.0199746200288865E-8","2.0199746200288865E-8","2.3229708130332198E-7","2.585567513636975E-5","7.776902287111213E-7","1.4139822340202205E-7","1.3719667619236197E-4","9.291883252132879E-7","1.2119847720173319E-7","9.240373899322142E-5","3.5349555850505516E-7","2.0199746200288865E-8","8.796989470225801E-6","5.150935281073661E-7","7.978899749114103E-7","5.270113783655365E-5","6.282121068289838E-6"
1839,"1.7283809126307368E-5","8.499357683761459E-6","1.7818359924028215E-6","6.325517773030017E-7","6.681884971510581E-6","9.9782815574558E-7","2.7948097540838254E-5","1.247285194681975E-7","2.385878393827378E-5","1.3363769943021162E-7","3.563671984805643E-8","2.8509375878445145E-7","3.474580185185502E-7","2.5836621889840914E-7","1.652652882953617E-5","8.909179962014108E-9","7.127343969611286E-8","1.8709277920229626E-7","2.1978946966288803E-5","1.4254687939222572E-7","1.247285194681975E-7","1.3545517214246249E-4","1.505651413580384E-6","8.018261965812696E-8","8.139426813296089E-5","1.247285194681975E-7","7.127343969611286E-8","7.777714106838316E-6","4.543681780627195E-7","9.265547160494672E-7","4.732556395821894E-5","7.216435769231427E-6"
1840,"1.891240370636014E-5","1.568123048625807E-5","1.6064590020846452E-6","1.1226957798659738E-6","6.991747702254763E-6","9.12760796639003E-7","2.8624178582599133E-5","6.389325576473021E-8","2.741933433103565E-5","1.0040368763029032E-7","1.1865890356307039E-7","3.01211062890871E-7","7.849742851095425E-7","5.476564779834018E-8","2.418816111093358E-5","4.5638039831950147E-8","5.476564779834018E-8","2.5557302305892084E-7","3.033104127231407E-5","1.1683338196979239E-6","2.8295584695809094E-7","1.4631555570123218E-4","1.3600135869921145E-6","2.1906259119336071E-7","8.746073953394926E-5","3.01211062890871E-7","3.651043186556012E-8","6.873088798691693E-6","1.6520970419165953E-6","1.259609899361824E-6","5.6308213544660094E-5","7.557659396170945E-6"
1841,"1.5055395030834745E-5","1.0874306687975904E-5","1.0604839455899762E-6","1.0517914542326814E-6","7.588544954918437E-6","1.608110901099554E-6","2.7007570647115215E-5","6.084743950106421E-8","2.068812943036183E-5","1.303873703594233E-7","1.1300238764483353E-7","7.823242221565398E-8","4.3462456786474436E-7","6.084743950106421E-8","2.2513552615393756E-5","1.7384982714589775E-8","7.823242221565398E-8","2.9554470614802614E-7","2.3374109259765952E-5","7.736317307992449E-7","2.607747407188466E-7","1.334645122999057E-4","1.695035814672503E-6","2.2600477528966705E-7","8.399554398554049E-5","7.736317307992449E-7","3.476996542917955E-8","6.632370905615999E-6","7.475542567273602E-7","6.95399308583591E-7","5.050337478588329E-5","8.396946651146861E-6"
1842,"1.6662122713705924E-5","8.937031678207433E-6","1.3933195144068783E-6","1.104762218523797E-6","5.919546812687211E-6","1.4015640085749665E-6","3.0908608636162055E-5","8.244494168088039E-8","2.6003134606149674E-5","1.6488988336176077E-7","4.122247084044019E-8","2.803128017149933E-7","5.194031325895464E-7","3.710022375639617E-7","2.6835828517126565E-5","5.7711459176616266E-8","3.297797667235215E-8","2.390903308745531E-7","2.991926933599149E-5","1.0305617710110047E-6","3.1329077838734545E-7","1.568679905362111E-4","1.7560772578027522E-6","3.1329077838734545E-7","8.680627909579896E-5","6.760485217832191E-7","4.9466965008528226E-8","8.450606522290239E-6","7.337599809598353E-7","1.0140727826748287E-6","5.067066115706908E-5","1.202047249707236E-5"
1843,"1.374708380568961E-5","9.013498908711805E-6","1.8489228530690882E-6","7.875041781590562E-7","6.805063278657061E-6","1.266854547473264E-6","2.6081795987507E-5","5.9918796164276E-8","2.903493665560346E-5","9.415810825814802E-8","5.1358968140808004E-8","1.1127776430508401E-7","5.47828993501952E-7","5.1358968140808004E-8","3.14316885021745E-5","1.7119656046936E-8","6.8478624187744E-8","1.7119656046936003E-7","3.20479961198642E-5","2.2255552861016802E-7","2.6535466872750804E-7","1.2137836137277626E-4","1.8403630250456201E-6","1.19837592328552E-7","9.616110801563953E-5","9.244614265345441E-7","1.7119656046936E-8","1.066554571724113E-5","1.36957248375488E-7","5.1358968140808E-7","5.403819431215349E-5","1.447466918768439E-5"
1844,"1.5807654514065517E-5","1.0495640662130811E-5","2.094313618360965E-6","1.3721365085813217E-6","6.218747334213592E-6","1.8616121052097464E-6","2.8156883091297414E-5","5.61693307606389E-8","2.9841963014116582E-5","1.043144714126151E-7","1.524596120645913E-7","7.22177109779643E-8","3.771369351071469E-7","5.61693307606389E-8","3.340470342236282E-5","2.40725703259881E-8","5.61693307606389E-8","1.283870417386032E-7","3.313188095866829E-5","4.333062658677858E-7","2.246773230425556E-7","1.2821853374632127E-4","3.659030689550191E-6","1.283870417386032E-7","9.31929439220086E-5","3.370159845638334E-7","7.22177109779643E-8","1.1314108053214407E-5","3.9318531532447226E-7","7.462496801056311E-7","5.757356402965487E-5","1.5647170711892265E-5"
1845,"1.5446683413222068E-5","9.830470802653828E-6","1.9895999831161032E-6","6.799898676472758E-7","6.027564505811655E-6","1.6118278344231725E-6","2.9676101013989137E-5","5.036961982572414E-8","3.173286049020621E-5","3.357974655048276E-8","1.9308354266527587E-7","1.0913417628906897E-7","8.227037904868276E-7","2.518480991286207E-8","2.8039088369653104E-5","3.357974655048276E-8","8.39493663762069E-9","2.518480991286207E-7","3.056596429757693E-5","7.55544297385862E-8","1.678987327524138E-7","1.2001401417142538E-4","2.081944286129931E-6","7.55544297385862E-8","8.701351824893845E-5","6.464101210967931E-7","1.427139228395517E-7","1.2726723942632966E-5","2.686379724038621E-7","5.960405012710689E-7","5.4222895742392034E-5","1.303733659822493E-5"
1846,"1.2192234571849396E-5","8.368026088942166E-6","1.5762866506606865E-6","9.663322510572035E-7","5.188039106739738E-6","1.3706840440527708E-6","2.5522136900262594E-5","4.1120521321583123E-8","2.3664860020571088E-5","1.1650814374448553E-7","6.168078198237469E-8","1.1650814374448553E-7","4.523257345374144E-7","1.8504234594712406E-7","3.055940076215652E-5","4.797394154184698E-8","7.538762242290239E-8","2.398697077092349E-7","2.3041198780527078E-5","5.482736176211084E-8","1.2336156396474937E-7","1.4592987675007826E-4","1.555726389999895E-6","1.4392182462554093E-7","9.903192218281269E-5","2.1999478907046973E-6","6.168078198237469E-8","1.0958618932201903E-5","1.781889257268602E-7","5.345667771805807E-7","5.2963231462199065E-5","1.3199687344228184E-5"
1847,"1.2965952801299908E-5","7.766670235206512E-6","1.3030460029167072E-6","8.708475762067102E-7","5.05091594199892E-6","1.6900893701196895E-6","2.7873573161401443E-5","3.870433672029823E-8","2.444823936165505E-5","1.612680696679093E-7","1.612680696679093E-7","1.6771879245462567E-7","2.5802891146865487E-7","1.0321156458746196E-7","3.0608679622969185E-5","1.9352168360149116E-8","8.385939622731284E-8","1.354651785210438E-7","2.1493808325338954E-5","3.870433672029823E-8","1.612680696679093E-7","1.7566608292786024E-4","1.7481458752001369E-6","6.450722786716372E-8","7.98212437628284E-5","3.244713561718335E-6","1.2256373294761106E-7","1.0140536220718137E-5","1.9997240638820754E-7","8.966504673535757E-7","5.052851158834934E-5","1.632677937317914E-5"
1848,"1.6748936734959084E-5","7.68988881045542E-6","1.4821479729745537E-6","8.440932402142078E-7","5.290537159137869E-6","1.8676393740172628E-6","2.9071368761393264E-5","6.646403466253604E-8","2.2657589416458536E-5","1.7280649012259372E-7","6.646403466253604E-8","7.311043812878965E-8","3.4561298024518744E-7","1.7945289358884732E-7","2.1308369512809057E-5","2.6585613865014417E-8","5.3171227730028835E-8","1.9939210398760812E-7","2.1062452584557673E-5","1.1298885892631127E-7","1.7945289358884732E-7","1.2945200031222145E-4","1.5486120076370898E-6","9.969605199380406E-8","7.727773310213066E-5","2.0603850745386173E-6","1.9939210398760812E-7","1.58583186704811E-5","1.1963526239256488E-7","6.978723639566285E-7","4.5468046112640906E-5","1.4103668155390148E-5"
1849,"1.3571102654590092E-5","7.491464830234152E-6","2.053566554004673E-6","3.9855403515222273E-7","4.789403574964846E-6","2.1008526259718857E-6","2.6649079130093535E-5","1.0132729707259899E-7","2.9391671304191882E-5","1.8914428786885146E-7","8.10618376580792E-8","1.6887882845433166E-7","4.5935041339578214E-7","4.05309188290396E-8","2.3068847966861706E-5","3.377576569086633E-8","1.0132729707259899E-7","2.0940974728337125E-7","2.0177642423723546E-5","1.4861336903981187E-7","1.1483760334894553E-7","1.3411681040529204E-4","1.749584662786876E-6","2.0265459414519798E-7","8.185894572838364E-5","1.141620880351282E-6","7.430668451990593E-8","1.7171599277236442E-5","1.8914428786885146E-7","2.3643035983606433E-7","4.566483521405128E-5","1.611104023454324E-5"
